QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,T2M,T2M_RANGE,T2M_MAX,T2M_MIN
5.07,96,0.05,96.31,2.31,3.17,1.61,1.56,251.38,3.9,5.16,2.78,2.38,252,3.63,8.62,9.12,0.5
5.92,97.25,0.76,96.15,2.37,3.28,1.69,1.59,170.69,4.24,4.98,2.9,2.08,172.25,5.37,9.59,10.15,0.57
5.98,98,12.65,95.51,4.06,6.27,2.31,3.95,128.56,6.79,10.26,4.34,5.91,131.69,6.02,2.39,7.08,4.69
5.8,97.44,4.48,95.79,3.77,5.94,2.45,3.48,118.19,6.34,9.77,4.06,5.7,120.69,5.61,3.66,7.7,4.04
4.76,92.62,0.21,96.47,2.31,3.09,1.6,1.49,134.56,4.05,5.34,3.25,2.09,135.69,3.3,12.77,9.86,-2.91
3.48,85.75,1.17,95.93,3.03,4.19,1.73,2.46,136.81,4.87,6.41,3.48,2.92,138.5,0.41,12.19,7.37,-4.81
4.09,96.94,21.18,95.11,4.48,4.91,3.8,1.11,106.12,7.04,7.87,5.62,2.24,108.31,0.65,3.8,2.62,-1.17
3.72,95.81,13.75,94.72,4.09,4.98,3.49,1.49,58.81,6.92,7.98,6.1,1.88,61.31,-0.51,2.38,0.74,-1.63
3.6,96.62,3.6,95.34,4.09,4.76,3.29,1.47,276.12,6.54,7.55,5.27,2.3,263.69,-0.89,2.38,0.52,-1.85
2.81,94.69,1.21,95.83,4.3,5,2.81,2.19,327.12,7.05,7.89,5.22,2.68,329.5,-3.66,9.33,-0.38,-9.71
2.93,91.81,3.43,95.06,2.49,3.7,0.8,2.89,196.75,4.28,6.29,1.23,5.05,198.31,-3.31,11.79,1.47,-10.32
3.36,95.12,0.76,94.26,3.8,5.33,2.21,3.12,285.69,6.78,8.73,4.62,4.1,287.19,-1.74,3.91,-0.4,-4.31
2.56,93.88,0.39,94.27,2.48,3.06,1.69,1.38,264.94,4.63,6.37,2.91,3.46,266.62,-4.89,8.3,-0.61,-8.92
1.53,88.06,0.1,94.55,4.43,4.97,3.34,1.63,302.81,7.27,7.84,6,1.83,304.06,-10.15,6.88,-6.3,-13.17
1.34,88.06,0,95.11,3.25,4.21,2.38,1.82,308.5,5.44,7.22,3.65,3.57,309.69,-11.59,12.63,-5.49,-18.12
1.71,89.31,0.02,94.47,2.54,2.99,1.84,1.16,311.44,4.06,5.25,3.44,1.81,297.94,-9.2,13.97,-1.35,-15.31
3.17,95,3.43,93.97,2.59,2.97,2.04,0.93,192.62,4.75,5.56,3.35,2.21,195.88,-2.53,11.07,1.12,-9.95
3.42,93.81,0.8,94.91,2.93,4.04,2.07,1.97,29.69,5.55,6.82,4.3,2.52,31.88,-1.22,6.91,1.2,-5.7
2.81,88.12,0.06,95.98,1.7,2.01,1.13,0.87,180.19,3.17,4.07,2.52,1.55,181.19,-2.67,9.42,2.35,-7.07
2.93,91.81,0.77,95.86,2.13,3.3,1.58,1.72,292.06,3.71,5.45,2.68,2.77,293.06,-2.63,6.8,1.41,-5.38
2.5,88.31,0.44,95.51,2.48,3.89,1.7,2.19,296.44,4.41,6.37,2.93,3.44,297.06,-4.22,7.67,-0.42,-8.09
2.44,88.25,0.38,95.1,1.7,1.98,1.3,0.67,305.19,3.03,3.73,1.98,1.75,305.19,-4.69,8.76,0.18,-8.58
2.2,86.62,0.53,94.8,2.16,3.07,1.43,1.64,260.56,3.76,4.93,2.57,2.36,262,-5.3,7.57,-1.51,-9.08
3.11,89.69,0.64,94.19,2.8,4.29,1.91,2.37,234.5,5.54,7.45,4.2,3.26,236.38,-1.87,9.12,3.21,-5.92
1.59,80.69,0.31,93.96,5.61,8.02,2.36,5.66,294.56,9.19,12.94,4.88,8.05,296,-8.62,5.21,-6.6,-11.81
2.38,83.06,0.49,93.83,3.95,6.56,1.52,5.04,273.44,6.94,10.65,3.61,7.04,274.44,-5.02,13.3,1.19,-12.12
2.26,83.69,0.39,93.51,4.04,5.05,1.98,3.08,304.81,6.66,7.46,5.22,2.24,305.81,-5.95,9.8,-1.54,-11.34
1.34,78.31,0.09,92.85,5.2,6.55,3.16,3.4,315,8.2,10.52,5.17,5.36,317.06,-10.14,8.08,-5.73,-13.81
1.34,82.12,0.7,93.07,6.27,7.62,3.68,3.94,287.44,10.17,12.27,6.4,5.87,288.69,-10.69,2.5,-9.42,-11.92
1.83,80.81,1.06,93.56,1.52,3.23,0.33,2.91,149.12,2.53,5.76,0.49,5.27,138.75,-7.1,12.28,-1.18,-13.46
2.38,89.06,3.72,93.87,1.7,2.36,1.09,1.27,142.5,3.16,3.99,1.83,2.16,143.44,-5.2,7.14,-1.85,-8.99
2.99,90.62,0.61,94.8,2.86,4.09,1.98,2.11,56.56,5.37,6.91,3.69,3.22,43.88,-2.48,7.91,1.25,-6.67
2.56,83.62,0,96.2,1.69,2.29,1.18,1.11,190.44,3.21,4.46,1.75,2.71,191.06,-2.88,11.96,3.8,-8.17
2.87,78.94,0.04,95.79,1.4,1.86,0.72,1.15,107.75,2.76,4.14,1.04,3.1,108,-0.86,15.73,7.14,-8.6
3.42,87.62,0.45,95.39,1.51,1.83,1.3,0.53,300.06,3.04,4.1,1.91,2.2,301.19,0.03,6.19,3.55,-2.63
3.23,82.19,0.21,95.97,1.3,2.04,0.51,1.53,173.38,2.49,3.95,0.87,3.08,171,0.31,8.8,5.32,-3.48
3.17,78.94,0.04,96.22,2.03,2.76,1.44,1.32,262.94,3.98,4.9,2.37,2.52,263.75,1.04,11.77,7.79,-3.98
3.66,93.5,8.18,95.62,2.2,4.01,1.01,2.99,228.56,4.62,7.62,1.54,6.09,215.19,-0.31,8.02,2.63,-5.39
2.93,78.5,0.04,96.4,2.27,3.59,1.63,1.97,277.31,4.36,6.22,2.59,3.63,278.12,-0.17,12.47,6.4,-6.07
6.16,82.31,0.52,95.09,4.39,6.16,1.75,4.41,264.5,8.58,11.09,4.94,6.15,265.94,8.36,16.28,15.76,-0.52
7.93,92.06,4.73,94.48,2.48,3.22,1.62,1.59,210.25,5.08,6.47,3.35,3.12,212.75,10.72,11.12,17.23,6.1
5.43,90.12,1.02,95.06,3.49,5.61,1.02,4.59,264.75,6.06,9.09,1.45,7.63,265.94,5.4,7.59,8.44,0.87
4.64,90.12,5.39,95.78,3.79,5.59,1.39,4.2,151.5,6.25,8.87,2.29,6.59,154,3.55,9.44,8.98,-0.46
4.39,86.88,7.61,94.69,4.41,6.64,0.61,6.04,282.81,7.81,11.3,1.02,10.28,284.31,3.3,6.94,7.36,0.42
5.31,82.25,0.34,95.46,3.02,4.32,1.47,2.85,241.38,5.9,8.97,2.15,6.82,244.19,6.35,16.99,14.63,-2.36
8.06,91.5,4.36,95.42,3.23,4.09,2.38,1.71,211.94,6.68,7.86,5.18,2.69,214.88,11.33,8.85,15.5,6.65
8.3,93.94,4.9,94.99,2.94,4.02,1.66,2.35,224.5,5.49,6.86,4.09,2.77,227.19,11.23,10.75,15.39,4.64
2.99,74.38,0.95,95,4.1,5.43,2.55,2.88,285.44,7.06,9.06,4.51,4.55,286.31,0.09,5.29,2.96,-2.34
3.11,73.5,0,96.02,4.08,5.39,2.05,3.34,289.19,7.76,9.19,5.57,3.61,290.56,1.39,11.81,8.07,-3.74
5.07,73.81,0.78,96.07,2.66,3.54,1.96,1.58,225.19,5.97,7.59,4.09,3.5,226.69,8.08,17.55,16.09,-1.46
7.2,86.56,5.03,95.27,3.73,5.18,1.96,3.22,235.44,6.73,9.27,3.52,5.76,237.88,10.31,12.92,17.97,5.04
4.09,71.56,0.03,96.13,4.27,5.62,2.09,3.53,288.62,8.1,9.87,5.52,4.34,290.06,5.77,9.69,10.9,1.22
5.31,88.31,5.14,95.43,2.91,4.2,1.73,2.47,266.75,5.88,7.73,3.34,4.39,268.06,5.65,10.22,10.09,-0.13
2.75,70.12,0,96.49,3.03,3.85,1.57,2.29,266.06,5.32,6.78,3.8,2.98,222.25,0.9,11.98,7.48,-4.52
2.75,69.31,0,97.31,1.65,2.23,1.2,1.02,127.38,3.42,6.42,1.46,4.96,127.25,1.84,15.87,10.51,-5.36
3.66,86.44,10.64,95.99,4.94,7.75,2.05,5.7,195.88,8.55,13.23,4.1,9.12,199,0.69,10,5.81,-4.19
1.53,62.94,0.1,96.6,5.96,7.02,3.55,3.47,303.88,10.04,11.98,6.49,5.48,304.94,-5.53,5.49,-2.62,-8.12
2.93,80.56,1,96.62,2.56,3.95,1.4,2.55,260.44,4.7,7.02,2.35,4.68,261.56,-1.49,14.05,5.52,-8.53
5.19,93.81,6.05,95.48,1.84,2.46,1.4,1.06,214.56,4.31,6.59,2.48,4.11,216.25,3.87,11.47,9.56,-1.91
5.86,88.62,4.64,94.92,3.19,5.23,1.13,4.1,279.44,6.16,9.27,2.58,6.7,280.25,6.76,13.19,14.37,1.19
2.75,66.81,0.24,95.66,3.81,5.3,1.57,3.73,295.38,6.45,9.31,2.42,6.89,296.38,1.24,11.9,7.52,-4.38
3.42,81.38,3.98,95.22,2.13,4.16,0.2,3.98,245.75,3.65,7.06,0.24,6.82,245.5,0.76,6.74,4.2,-2.55
1.71,62,0.1,95.81,4.65,5.97,3.34,2.62,315.75,8.06,10.21,5.93,4.29,317.5,-4.05,5,-1.52,-6.52
2.01,63.94,0,95.82,3.84,5.2,2.1,3.09,304.44,6.84,8.79,4.38,4.41,305.88,-2.27,11.02,3.25,-7.77
3.36,78.25,6.19,94.94,1.62,2.27,0.64,1.62,238.5,3.27,4.55,1.1,3.45,240.19,1.41,13.58,8.18,-5.4
4.39,97.31,10.99,93.6,1.32,1.86,0.54,1.32,108.31,2.67,3.78,0.62,3.16,109.25,1.38,4.05,4.14,0.08
4.33,85.12,2.07,94.19,1.73,2.63,0.97,1.66,208.12,3.39,5.11,1.5,3.6,209.25,3.35,9.08,8.8,-0.28
4.82,81.12,0.07,95.01,3.24,4.64,2.2,2.45,286.44,6.09,8.1,4.3,3.8,288.56,5.9,9.56,11.29,1.72
4.76,80.69,0.02,95.36,2.63,4.09,1.7,2.39,292.19,5.3,7.2,3.21,3.99,293.12,6.04,10.15,11.82,1.67
5.07,73.38,0.02,95.44,1.72,2.55,0.54,2.02,244.62,3.6,5.81,0.85,4.95,259.12,8.4,12.62,14.88,2.26
6.9,93.38,9.06,94.45,2.86,4.84,1.5,3.34,220.81,5.55,8.58,3.96,4.62,222.81,8.15,12.53,15.97,3.44
5.13,77.75,1.27,94.82,2.33,3.85,1.08,2.77,292.56,4.19,6.64,2.62,4.01,292.94,7.57,9.09,12.4,3.32
5.49,81.94,3.73,95.1,1.08,1.59,0.45,1.14,194,1.91,3.8,0.63,3.17,195.94,7.47,12.14,14.07,1.93
5.31,83.38,0.74,95.36,1.48,2.08,0.56,1.52,187.19,3.23,5.53,1.01,4.53,189,6.83,10.84,12.48,1.65
5.07,74.56,0.01,96.04,1.84,2.38,1.08,1.29,66.44,3.48,4.47,2.16,2.3,67.31,8.35,15.35,16.43,1.08
5.31,74.5,0.04,96.25,2.13,3,1.41,1.59,70.31,4.35,5.15,3.23,1.91,70.5,8.75,17.12,16.98,-0.14
7.75,83.88,0.45,95.88,1.69,2.39,1.23,1.16,137.62,3.4,4.77,2.08,2.69,138.38,12.16,14.44,20.08,5.64
7.08,86.56,3.04,95.16,2.49,4.06,1.17,2.89,261.31,4.57,6.65,2.22,4.44,262.5,9.76,17.76,19.33,1.57
3.3,70.5,0.03,95.62,3.48,4.45,1.59,2.87,318.25,6.62,7.64,4.63,3.01,320.06,2.84,10.93,8.73,-2.2
4.64,70.12,0,96.43,1.63,2.38,1.06,1.32,261.38,3.46,6.44,1.88,4.55,262.81,8.06,20.03,17.07,-2.96
4.88,73.25,0.01,96.55,2.23,3.34,1.16,2.17,177.31,4.12,5.59,1.67,3.91,180.06,8.3,13.67,15.1,1.43
6.1,79.81,0.05,96.29,1.96,2.76,1.27,1.48,177.94,3.79,5.41,2.63,2.78,180.94,9.72,15.18,17.83,2.65
8,93.75,11.44,95.95,2.77,3.77,1.76,2.02,144.19,4.9,6.65,3.12,3.52,147.31,10.92,7.38,14.91,7.53
8.24,94.31,13.5,95.36,2.87,3.88,1.07,2.81,127.69,5.18,6.92,3.32,3.59,130.62,11.14,7.98,15.45,7.47
5.8,82.88,5.85,95.12,2.59,3.6,0.59,3.01,266.88,4.88,6.49,1.01,5.48,267.56,8.1,8.21,12.19,3.97
5.31,73.06,0.17,95.44,2.7,3.97,1.47,2.5,267.81,5.07,7.17,2.03,5.15,268.31,8.99,13.27,15.23,1.97
8.73,86.88,14.43,95.52,2.25,3.2,0.63,2.56,149.12,4.12,5.8,0.79,5.02,152,13.15,15.26,20.24,4.99
8.36,95.31,18.33,95.05,1.96,3.2,0.6,2.59,198.44,3.69,5.73,1.62,4.09,201.62,11.16,7.3,13.98,6.67
3.85,71.38,0.4,95.58,3.8,4.84,1.68,3.16,309.19,6.92,8.2,4.28,3.92,311,4.55,10.24,8.59,-1.65
2.93,68.5,0.06,95.64,3.16,4.97,1.59,3.38,283.19,6.26,9.07,3.09,5.98,284.25,1.51,8.58,5.3,-3.28
4.33,72.12,0,95.37,2.91,4.16,1.55,2.61,294.69,5.71,7.47,3.63,3.83,296.38,6.48,13.09,13.08,-0.02
4.76,66.88,0,95.69,2.14,3.02,1.06,1.96,299.38,3.62,5.34,1.7,3.65,299.5,8.98,13.76,15.36,1.6
6.71,74.19,1.01,95.69,1.6,2.23,0.5,1.73,245.62,2.98,3.99,0.9,3.09,246.62,12.21,15.34,19.23,3.88
7.14,86.06,2.8,95.64,1.03,1.57,0.16,1.41,136.12,2.02,3.68,0.18,3.49,148.94,10.68,11.25,16.06,4.81
5.62,73.5,0.01,95.8,2.4,3.82,1.19,2.63,98.19,4.96,7.12,2.06,5.05,99.31,10.15,12.38,16.27,3.9
6.59,72.62,0,95.52,2.45,3.35,1.52,1.84,322.75,5.16,6.47,3.46,3.01,324.81,12.49,13.91,18.93,5.02
10.62,88.38,5.67,95.45,1.62,1.96,1.27,0.7,252.25,4.06,5.92,2.55,3.38,253.25,16.15,10.96,21.15,10.19
10.5,85.12,1.06,95.52,1.98,3.16,1.41,1.75,262.44,4.66,6.01,3.04,2.97,263.38,16.87,7.27,21.17,13.9
10.93,84.5,1.14,95.75,1.3,1.78,0.5,1.28,236.62,3.25,5.48,0.91,4.57,237,17.55,12.13,22.98,10.84
11.11,88.88,0.63,95.69,1.74,2.52,1.05,1.47,206.69,3.91,4.73,2.57,2.17,208.44,16.73,6.52,20.26,13.74
10.56,91.81,4.84,95.57,1.74,2.81,0.9,1.91,154.69,3.5,5.12,1.52,3.6,156.56,15.51,7.71,20.3,12.58
11.47,87.25,10.32,95.06,1.48,2.66,0.77,1.9,213.25,3.12,4.95,1.59,3.35,214.81,17.57,12.02,23.12,11.1
8.79,83.69,11.08,95.14,2.02,3.55,0.97,2.58,293.25,4.07,6.34,1.94,4.4,294.19,13.87,12.81,18.73,5.92
5.49,66.94,0,96.19,1.9,2.95,0.41,2.52,288.88,3.47,5.3,0.55,4.76,289.75,11.13,13.31,16.73,3.41
7.32,72.5,0.05,96.29,1.46,2.13,0.23,1.9,186.31,2.98,5.13,0.28,4.85,188.44,13.8,13.29,20.44,7.15
8.67,87.88,7.33,95.75,1.49,2.54,0.48,2.05,199.38,3.01,4.49,0.73,3.76,201.62,13.15,9.32,18.01,8.69
11.23,87.12,14.4,94.98,0.79,1.23,0.34,0.9,258.31,2.05,3.67,0.62,3.05,260.19,17.27,12.3,23.4,11.09
11.05,83.94,5.25,95.17,1.41,1.93,0.61,1.32,288.06,3.22,5.15,0.96,4.19,289,17.97,10.26,23.67,13.42
10.68,85.25,8.45,94.26,2.08,2.89,1.2,1.69,234.44,4.75,5.9,3.23,2.67,236.69,16.73,10.59,22.11,11.51
7.14,77.12,1.68,94.38,3.03,4.16,1.55,2.6,294.25,5.92,7.56,3.75,3.81,296.12,12.09,9.92,15.38,5.47
6.53,74.19,0.2,94.92,1.61,2.11,1.15,0.96,263.31,3.54,5.09,2.06,3.03,264.44,11.7,14.05,18.12,4.08
9.16,85.19,17.43,93.56,3.24,4.93,1.42,3.5,251.56,6.65,9.4,3.54,5.87,254.12,14.11,10.01,19.71,9.7
6.71,74.81,2.26,94.25,2.89,3.97,1.1,2.88,302.31,5.54,7.46,3.07,4.39,303.81,11.89,10.37,16.93,6.55
7.75,80.94,2.48,95.01,2.35,3.91,1.38,2.53,292.31,5.09,7.63,2.22,5.41,293.81,12.83,9.78,17.5,7.72
8.12,80.5,4.42,95.7,1.93,2.71,1.16,1.55,295,3.82,5.16,2.73,2.44,296.25,13.81,10.39,18.97,8.58
8.42,74.69,0.47,96.04,1.37,1.9,0.74,1.16,310.38,2.64,4.05,0.95,3.1,311.69,15.63,11.57,20.94,9.38
9.22,80.56,0.53,96.07,1.84,2.63,0.83,1.81,185.81,3.45,4.87,1.06,3.8,187.25,15.62,9.05,19.82,10.76
12.39,85.5,2.26,95.76,1.21,1.8,0.79,1.02,222.19,2.49,3.96,1.62,2.34,225.81,19.12,13.13,25.17,12.03
15.93,92.81,2.75,95.35,1.68,2.36,1.13,1.22,223.12,4.07,4.52,3.21,1.3,225.56,21.59,9.09,26.15,17.07
11.29,81.12,1.34,95.41,2.63,3.7,1.49,2.2,279.19,5.59,6.95,4.02,2.92,280.56,18.51,10.09,21.91,11.83
9.34,77.12,0.02,96.17,1.31,1.79,0.88,0.91,254.12,3.14,5.47,1.58,3.89,255.38,16.98,11.82,23.01,11.19
10.74,81.12,1.38,95.85,1.77,2.59,1.35,1.23,223,4.1,4.94,2.56,2.38,225.06,18.03,12.32,23.73,11.42
11.84,87.69,9.09,95.65,0.93,1.47,0.48,0.98,190.5,2.29,3.56,0.95,2.61,187.75,18.13,9.83,23.89,14.06
10.8,84.19,6.8,95.31,1.17,1.89,0.23,1.66,194.06,2.24,3.6,0.51,3.09,193.38,17.39,8.11,21.37,13.26
12.21,92.31,9.72,94.56,3.05,4.51,1.11,3.4,176.06,5.78,9.23,1.63,7.6,178.69,17.29,8.84,22.25,13.4
7.39,72.94,0.5,95.1,3.7,4.88,1.6,3.28,282.19,7.59,9.82,4.48,5.34,284.06,13.78,10.2,18.24,8.04
7.2,72.69,0.11,96.18,1.88,2.61,1.05,1.56,255.38,3.74,4.85,1.77,3.08,256.56,13.87,13.34,19.71,6.37
11.96,92.31,7.92,95.29,2.12,3.38,1.13,2.24,189.31,4.37,6.91,1.88,5.02,192.62,17,12.36,23.27,10.92
8.3,83.75,2.22,95.05,2.27,3.23,1.13,2.1,269.25,4.48,5.82,3.29,2.53,270.44,13.3,7.33,17.15,9.82
7.57,77.12,0.07,96.17,2.31,3.09,1.48,1.6,311.75,4.77,5.88,3.29,2.59,313.81,13.86,11.35,19.9,8.55
8.67,73.25,0,96.73,1.66,2.48,1.06,1.41,311.69,3.28,4.91,2.03,2.88,312.94,16.43,14.75,22.83,8.08
9.16,71.88,0,96.74,1.29,1.82,0.51,1.31,218.62,2.66,5.27,0.99,4.27,220.31,17.77,11.89,23.83,11.94
8.48,75.31,0,96.58,1.91,2.63,1.17,1.46,169.25,4.15,4.59,3.05,1.53,170.94,15.89,11.85,22.05,10.2
10.93,82.25,0.03,97.17,1.33,1.77,0.88,0.89,155.75,3.04,4.59,1.5,3.08,157.12,18.24,11.96,24.07,12.12
11.54,84.44,0.07,97.46,1.55,2.11,0.99,1.11,142.19,3.19,4.34,1.73,2.6,143.06,18.65,12.13,24.82,12.69
12.39,85.5,1.51,96.91,1.39,2,0.98,1.02,201.06,3.31,4.01,2.27,1.73,202.31,19.42,10.49,24.49,14
13.43,91,7.55,96.09,1.54,2.35,1.16,1.19,223.25,3.66,4.43,2.57,1.86,224.81,19.51,6.41,23.19,16.78
12.94,96.88,21.97,95.43,1.45,2.22,0.86,1.35,160.88,3.15,4.02,2.09,1.91,162.56,17.75,4.64,20.36,15.72
13.31,88,1.86,95.27,1.84,2.6,1.44,1.16,294.19,4.08,5,2.84,2.16,295.25,19.91,9.47,25.22,15.75
12.21,81.88,0.3,95.58,2.25,3.48,1.46,2.02,296.38,4.91,6.61,3.26,3.35,297.56,19.87,9.17,24.39,15.22
13.98,82.06,1.76,95.32,3.31,4.45,1.46,2.98,274.88,6.88,8.69,4.02,4.68,277.06,21.76,11.66,26.53,14.87
16.36,89.38,5.65,95.09,2.14,3.23,1.14,2.08,277.69,4.65,6.39,2.67,3.72,280.38,22.85,6.96,26.55,19.59
10.8,75.88,0.22,95.42,2.37,2.94,1.8,1.13,303.94,4.93,6.11,3.57,2.54,306.38,19.23,9.62,23.65,14.01
10.38,76,0.09,95.67,2.31,3.62,1.27,2.35,300.5,5.09,7.38,2.73,4.66,302.44,18.68,10.64,23.27,12.63
10.38,81.06,6.12,95.91,1.38,1.84,0.8,1.03,270.62,2.77,3.63,1.91,1.72,271.75,17.46,10.8,22.89,12.09
12.88,91.44,9.62,95.08,1.47,2.01,1.04,0.97,231.25,3.32,4.76,1.87,2.89,233.44,18.62,7.18,22.53,15.35
10.56,90.25,6.65,94.66,1.87,2.52,1.23,1.29,318.94,3.94,4.8,2.83,1.97,321,15.67,5.98,18.73,12.75
9.16,78,0.11,95.04,2.73,4.15,1.62,2.52,313.31,5.9,8.04,3.81,4.23,315.69,16.22,8.76,20.87,12.11
9.64,78.88,0.06,95.32,2.08,3.12,1.16,1.97,297.38,4.48,6.02,2.98,3.05,298.81,16.86,9.89,21.56,11.66
10.5,82.06,1.43,95.7,1.37,2.11,1.01,1.1,273.25,2.81,3.83,1.7,2.12,273.88,17.35,8.91,22.12,13.22
10.8,80.75,1.01,95.94,1.28,2.05,0.53,1.52,259.44,2.36,3.31,0.91,2.4,259.56,18.17,11.4,23.78,12.38
11.29,82.31,1.97,95.94,0.8,1.47,0.2,1.27,187.06,1.66,3.78,0.41,3.37,186.25,18.57,13.08,26.32,13.24
12.02,92.44,12.33,95.47,2.05,2.7,1.15,1.55,154.88,4.11,5.56,2.5,3.06,158.06,17.34,8.06,21.81,13.75
13.98,92.94,8.77,94.56,1.91,2.8,0.95,1.86,240.31,4.15,5.36,2.88,2.48,242.25,19.42,8.12,23.8,15.66
8.18,75.06,0.37,95.45,2.16,2.82,1.41,1.41,318.62,4.43,5.09,3.48,1.61,319.69,15.13,9.88,19.65,9.76
7.45,76.25,0.03,96.22,1.84,2.51,1.02,1.48,315.12,3.74,4.72,2.8,1.91,315.56,13.62,11.38,19.51,8.14
7.57,72.12,0,96.74,1.29,2.12,0.44,1.68,187.44,2.3,3.84,0.73,3.12,186.44,14.88,15.45,21.82,6.37
8.85,74.38,0.5,96.7,1.55,2.02,0.91,1.11,184.19,3.3,4.75,1.54,3.2,185.69,16.6,12.33,22.71,10.38
11.6,88.31,6.4,96.32,1.83,2.52,1.23,1.3,194.56,4.02,4.73,2.67,2.05,196.75,17.73,9.54,22.64,13.1
9.46,80.38,7.98,95.92,2.62,4.16,0.75,3.41,284.56,5.45,7.59,1.84,5.76,286.19,16.05,8.74,19.12,10.39
7.87,80.31,9.38,96.26,1.3,2.65,0.72,1.92,264.31,2.95,5.39,1.87,3.52,264.81,13.49,7.75,17.06,9.31
9.22,95.25,22.64,95.33,1.95,3.33,0.72,2.61,112,3.72,6.89,1.34,5.55,115.31,12.78,3.08,14.25,11.17
8.73,84.44,0.57,96.09,1.83,2.41,1.1,1.31,315.62,4.09,4.88,3.39,1.49,317.62,14.26,8.85,19.37,10.51
9.03,76.5,0,96.84,1.86,2.49,1.16,1.33,288.88,3.74,4.68,2.45,2.23,290.06,16.52,14.31,23.41,9.09
9.77,78.75,0,96.73,1.7,2.17,0.97,1.2,267.88,3.66,4.59,1.75,2.84,268.81,17.25,13.61,23.76,10.15
11.05,81.69,0.64,96.09,1.7,2.2,1.23,0.97,257.31,3.99,4.7,2.11,2.59,258.94,18.38,13.2,24.23,11.05
12.33,85.44,2.8,95.74,1.28,1.73,0.66,1.07,257.5,2.48,3.86,1.09,2.76,258.81,19.19,10.82,24.51,13.69
12.57,82.81,5.25,95.8,0.98,1.79,0.23,1.56,276.94,1.85,3.58,0.3,3.28,277.44,20.03,11.03,25.36,14.32
13.31,94.88,24.88,95.44,1.12,1.66,0.52,1.13,160.69,2.35,3.13,1.23,1.9,164,18.52,4.97,21.36,16.39
11.29,89.62,3.1,95.19,1.78,2.46,0.6,1.86,252.75,3.58,4.59,1.45,3.14,240.25,16.94,7.91,21.01,13.1
9.03,83.06,0.59,95.25,1.72,2.15,1.05,1.09,323.56,3.28,3.77,2.59,1.18,324.81,14.81,9.16,19.58,10.42
10.19,85.31,3.01,95.55,1.06,1.61,0.37,1.24,212,2.24,3.88,0.71,3.16,213.25,16.13,11.59,21.95,10.37
12.33,91.94,9.71,95.81,1.63,2.31,1.09,1.22,168,3.42,4.2,2.32,1.89,170.56,17.91,8.97,22.58,13.61
