T2M,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
25.19,9.2,30.57,21.37,14.1,72.56,0,100.59,3.45,6.19,1.24,4.95,78.56,4.35,6.96,1.55,5.41,78.25
24.89,8.51,30.01,21.49,13.37,70.19,0,100.73,3.25,5.2,1.57,3.63,72.75,4.14,6.02,2.03,3.98,72.44
24.76,9.75,30.47,20.72,13.49,71.62,0,100.83,3.49,5.77,2.14,3.62,60.38,4.42,6.29,2.93,3.37,59.88
25.05,11.62,31.46,19.83,12.82,68.06,0,100.83,2.94,5.5,1.41,4.09,50.62,3.6,6.02,1.84,4.18,79.44
25.87,12.27,33.09,20.83,12.15,62.31,0,100.74,2.16,4.69,0.27,4.42,88.62,2.71,5.41,0.31,5.09,87.75
26.09,12.53,33.23,20.7,12.76,64.12,0,100.72,2.61,4.87,0.62,4.23,149.56,3.18,5.3,0.78,4.52,149.5
25.63,11.89,32.56,20.67,13.61,70.25,0,100.72,3.17,5.17,1.6,3.57,141.75,3.88,5.78,2.07,3.71,141.19
25.83,13.62,33.22,19.59,13.98,71.5,0.33,100.79,3.44,4.95,1.84,3.1,164.75,4.41,6.57,2.45,4.12,165.44
26.76,11.38,33.46,22.08,15.01,72.62,0,100.79,3.06,4.52,1.39,3.13,140.88,3.9,6.1,1.75,4.34,140.88
26.69,11.39,33.51,22.12,14.89,72.38,0,100.83,3.45,6.08,1.96,4.12,126.19,4.34,6.7,2.3,4.4,125.56
26.61,10.17,32.67,22.5,14.83,71.5,0.01,100.91,3.16,6.09,0.58,5.52,101,3.95,6.74,0.79,5.96,101.06
26.37,9.16,31.85,22.69,14.53,70.62,0.01,100.92,3.12,5.96,0.56,5.4,73.25,3.87,6.43,0.66,5.77,73
26.22,10.72,32.29,21.57,13.73,68.06,0.39,100.94,3.69,6.28,1.32,4.96,67.12,4.61,6.95,1.71,5.24,66.88
26.88,10.95,32.74,21.8,14.28,67.12,0,100.93,3.98,6.53,2.27,4.26,73.25,4.91,7,3.1,3.9,73.31
27.8,9.73,33.56,23.83,15.2,67.94,0,100.8,3.1,5.87,0.23,5.63,108.12,3.87,6.23,0.25,5.98,109.25
27.82,10.79,33.98,23.19,16.05,71.94,0.01,100.7,4.34,6.61,2.62,3.98,143.94,5.44,7.32,3.55,3.77,144.81
28.12,9.36,33.76,24.41,16.66,72.44,0.2,100.68,4.68,6.76,3.02,3.73,153.38,5.92,7.59,4.73,2.87,154.56
27.64,9.78,33.52,23.74,15.93,72.06,1.92,100.71,4.22,6.11,2.93,3.17,149.5,5.41,7.2,4.15,3.05,150.75
27.38,10.42,33.35,22.93,15.81,72.5,1.17,100.72,4.02,6.53,2.49,4.04,140.31,5.02,7.62,3.54,4.08,141.31
27.31,9.72,33,23.29,15.01,69.31,0.02,100.73,3.8,6.2,1.91,4.29,117.88,4.72,6.59,2.55,4.05,118.31
27.65,9.52,33.15,23.63,15.56,69.62,0.05,100.8,4.1,6.52,2.29,4.23,106.06,5.08,6.91,3.17,3.74,106.56
27.55,9.29,33.08,23.79,15.08,68.38,0,100.88,3.71,6.05,1.82,4.23,96.38,4.57,6.49,2.42,4.07,96.75
27.08,8.82,32.3,23.48,15.56,71.69,0,100.72,3.63,6.15,1.8,4.34,100.06,4.41,6.52,2.39,4.13,100.38
27.4,8.74,32.33,23.58,15.38,69.44,0,100.48,3.12,4.76,2.11,2.65,129.19,3.88,6.12,2.46,3.67,129.88
28.05,10.38,34.06,23.69,14.89,65.94,0,100.41,3.22,5.5,1.27,4.22,139.94,3.99,6.34,1.33,5.02,140.62
28.23,11.47,34.58,23.11,14.65,64.19,0,100.4,4.23,6.09,2.59,3.48,157,5.29,6.69,3.87,2.82,158.06
28.98,11.48,35.34,23.87,15.2,63.75,0.02,100.36,4.01,6.08,1.95,4.12,155.12,4.82,7.28,2.8,4.48,156.62
29.19,9.4,34.7,25.3,16.17,65.81,0,100.32,4.49,6.62,2.44,4.18,149.12,5.38,7.45,3.9,3.55,150.56
28.91,8.89,34.44,25.55,15.56,64.5,0.05,100.24,4.16,6.16,2.3,3.87,133.81,5.02,7.11,3.56,3.55,134.81
29.09,10.62,34.83,24.22,15.99,65.38,0.55,100.14,3.65,5.28,2.37,2.92,167.88,4.43,6.37,2.69,3.68,170.19
29.98,9.73,35.85,26.12,17.27,67.19,1.05,100.14,4.76,6.45,3.36,3.09,168.12,5.66,7.54,3.91,3.62,169.75
29.86,9.29,35.42,26.13,17.15,67.25,0.37,100.21,4.83,6.7,3.2,3.52,152.19,5.84,7.73,4.55,3.18,153.81
29.45,9.8,35.19,25.4,15.93,64.38,0.47,100.26,3.98,6.49,2.03,4.46,143.06,4.66,7.42,2.98,4.45,144.12
29.58,10.45,35.63,25.19,15.75,63.44,2.68,100.24,4.12,6.7,2.66,4.04,157.38,5.06,7.8,3.33,4.48,158.75
29.16,10.45,35.12,24.67,15.81,65.25,0.2,100.3,4.29,6.07,2.88,3.19,144.5,5.45,6.63,4.18,2.45,145.44
28.83,11.16,35.13,23.97,15.26,64.94,0,100.43,4.23,6.48,2.87,3.62,142.56,5.27,7.09,4.34,2.75,143.38
28.95,11.96,35.53,23.57,14.28,61,0,100.4,3.91,5.46,2.37,3.09,142.19,4.81,6.68,3.25,3.43,142.81
29.3,12.13,36.15,24.02,14.47,59.88,0,100.26,4.52,6.83,2.95,3.88,155.69,5.52,7.87,3.18,4.7,156.81
29.85,12.34,36.73,24.39,15.01,60.19,0,100.16,5,7.02,2.99,4.03,163.44,6.05,8.22,4.7,3.53,165.19
30.29,11.07,36.98,25.91,16.42,63.5,0.02,100.3,4.98,7.18,3.18,4.01,161.56,5.95,8.2,4.4,3.79,162.75
30,10.66,36.3,25.65,16.54,65.19,0,100.32,4.85,7.3,2.57,4.73,160.75,5.84,8.13,4.11,4.02,161.75
30.26,12.46,37.37,24.9,16.11,63.5,0,100.19,4.77,6.97,2.75,4.23,166.19,5.81,8.12,4.27,3.85,167.69
30.86,11.9,37.8,25.91,16.48,62.31,0,100.09,4.98,7.01,3,4.01,173.44,6.05,8.12,4.34,3.8,174.81
30.99,11.45,37.8,26.34,16.97,63.5,0,100.13,4.92,6.87,3.41,3.47,163.19,5.95,7.86,4.02,3.84,164.06
30.37,10.92,36.92,26,16.11,62.81,0.01,100.19,4.66,6.26,3.07,3.2,156.44,5.7,6.78,4.45,2.33,157.12
29.73,12.04,36.7,24.66,14.89,61.06,0,100.25,3.73,5.97,2.16,3.8,140.38,4.7,6.37,3.16,3.22,140.94
29.36,13.97,37.08,23.12,13.12,56.94,0,100.24,3.35,6.2,1.85,4.34,137.62,4.19,6.79,2,4.79,137.44
29.12,13.98,36.71,22.73,13.43,58,0,100.16,3.32,6.68,0.27,6.41,134.12,4.03,7.1,0.38,6.73,133.31
29.98,12.52,36.76,24.25,16.48,65.38,0.03,100.14,4.01,6.92,1.53,5.39,154.38,4.7,7.49,2.14,5.35,155.12
30.55,8.73,35.73,27,17.58,66.06,0.01,100.21,4.3,5.8,2.48,3.3,149.44,5.24,6.31,4.09,2.23,150
30.75,11.16,37.24,26.08,17.4,65.94,0.04,100.22,4.83,6.81,2.59,4.22,167.31,5.95,7.69,4.15,3.53,168.12
31.52,12.78,38.88,26.1,17.15,63.69,0.05,100.1,5,6.55,3.45,3.11,168.06,6.2,7.84,3.77,4.06,168.88
32.54,13.76,40.56,26.8,17.7,62.31,0.26,100.03,5.52,8.56,1.84,6.72,173.56,6.7,9.92,2.14,7.78,175.75
33.17,12.05,40.23,28.17,17.4,57.69,0.12,100.03,5.21,8.21,1.99,6.22,182.12,6.29,9.69,2.39,7.3,184.44
32.82,11.9,39.71,27.81,17.7,59.75,0,99.98,6.7,8.38,5.18,3.2,177.5,7.98,9.77,6.07,3.7,179
32.36,11.7,39.33,27.65,17.58,61.31,0.04,100.15,6.66,8.87,5.02,3.86,176.94,7.95,10.33,5.95,4.38,178.38
32.01,11.73,38.87,27.15,17.52,61.75,0.03,100.3,6.62,8.77,4.97,3.8,178.19,7.82,10.17,5.8,4.38,179.56
32.81,13.09,39.96,26.87,16.6,56.12,0.01,100.24,5.77,7.68,2.45,5.23,179.94,6.81,9.03,2.72,6.31,182
33.58,12.07,40.46,28.39,16.42,53,0.4,100.07,5.49,7.75,2.9,4.86,178.88,6.67,9.05,3.38,5.68,181
33.11,10.08,39.04,28.97,16.36,53.75,0.76,100.07,5.59,7.93,3.04,4.89,180.31,6.8,9.23,3.64,5.59,181.94
31.57,10.37,37.65,27.28,16.78,60.5,0.22,100.25,5.62,7.38,4.05,3.33,166.62,6.7,8.12,5.78,2.34,167.5
30.55,11.17,36.94,25.76,16.54,63.88,0.27,100.47,4.95,6.48,3.33,3.16,164.38,5.98,7.17,5.02,2.16,165.31
30.36,10.62,36.3,25.66,16.48,63.81,1.6,100.47,4.33,5.88,2.35,3.53,156.44,5.16,6.5,3.64,2.86,157.31
30.48,10.74,36.76,26.03,15.93,61.38,0.04,100.45,4.66,6.48,2.94,3.54,159.75,5.6,7.34,4.03,3.31,160.5
30.12,11.03,36.22,25.19,15.44,60.94,0.02,100.45,3.94,6.17,1.53,4.64,147.06,4.63,6.74,2.16,4.58,147.69
30.33,11.23,36.59,25.37,15.62,60.69,0.01,100.39,3.88,6.03,2.11,3.92,147.88,4.61,6.92,3.02,3.91,148.88
30.45,11.62,36.92,25.3,15.81,60.94,0.09,100.26,4.31,7.16,2.18,4.98,157.44,4.98,8.02,3.3,4.73,159.12
30.63,8.37,35.63,27.26,17.09,63.69,0.17,100.33,4.71,6.74,3.19,3.55,153.31,5.48,7.84,4.16,3.68,154.5
30.86,8.98,36.28,27.3,16.97,63,0.04,100.51,4.15,6.05,2.53,3.52,125.31,4.85,6.85,3.23,3.62,125.75
31.19,12.05,38.19,26.14,15.75,59.44,0.04,100.4,4.02,6.55,2.29,4.27,163,4.81,7.69,2.71,4.98,164.5
30.77,10.34,36.82,26.47,16.78,62.94,0.3,100.31,5.19,6.99,3.09,3.9,165.88,6.08,8.05,4.69,3.37,167
30.67,8,35.34,27.35,17.52,65.12,0.23,100.31,5.52,6.35,4.41,1.94,163.94,6.44,7.49,5.58,1.92,164.88
30.35,7.55,34.7,27.15,17.27,65.38,1.12,100.23,4.92,6.38,3.66,2.71,176.94,5.84,7.69,3.98,3.71,178.19
29.67,6.3,33.52,27.23,18.8,72.62,45.7,100.04,5.03,6.34,3.93,2.42,186.94,6.3,8.57,4.38,4.2,188.19
29,6.65,32.82,26.17,18.43,74.25,3.24,100,4.64,6.02,3.23,2.78,181.94,5.81,7.68,3.34,4.34,183.19
29.52,7.79,33.73,25.94,18.13,71.19,3.49,99.98,3.93,5.25,2.91,2.34,166.44,5.03,6.91,3.2,3.7,167.5
28.98,5.22,31.93,26.71,19.17,76.88,2.73,100.02,3.89,4.96,2.94,2.02,174,5.13,5.95,3.72,2.23,174.56
29.04,5.3,32.07,26.76,19.41,77.5,2.95,100,4.59,5.53,3.82,1.71,174,5.92,6.28,5.26,1.02,174.69
28.99,6.62,32.65,26.03,17.94,72.56,0.68,100.03,4.62,5.34,3.88,1.46,193.56,5.94,7.55,4.59,2.96,194.81
29.59,9.84,34.8,24.97,17.27,68.31,0.09,99.95,3.3,5.35,0.27,5.09,207.38,4.38,7.23,0.55,6.69,207.06
31.09,11.2,37.15,25.95,17.46,64.25,0,99.85,3.51,5.5,0.55,4.95,169,4.7,7.29,0.62,6.68,168.25
31.26,9.73,36.87,27.15,18.74,68.06,0.01,99.92,3.95,5.38,1.72,3.66,171.81,5.21,7.53,1.73,5.79,172.62
31.4,10.5,37.4,26.9,18.43,66.62,0,99.79,3.88,6.87,0.71,6.16,210.12,5.14,8.87,0.8,8.07,213.44
31.37,9.05,36.59,27.54,18.8,66.75,0.09,99.7,3.91,5.84,0.85,4.99,191.88,5.22,7.98,1.02,6.95,207.56
31.44,8.42,36.16,27.73,18.43,65.25,0.01,99.76,3.55,5.68,0.73,4.95,223.31,5.05,8.52,0.88,7.64,227.25
31.65,9.7,37.28,27.58,18.07,63.31,0.12,99.79,4.2,7.18,2.36,4.82,247.81,5.84,9.48,3.82,5.66,250.19
31.79,9.06,36.65,27.59,17.03,59.44,0,99.76,4.94,7.23,2.1,5.13,259.12,6.69,9.49,3.09,6.4,259.69
31.45,9.17,36.97,27.8,16.72,59.94,0,99.77,5.76,7.98,1.8,6.19,230.44,7.51,10.55,2.04,8.51,231.94
31.49,11.33,37.35,26.02,16.3,58.5,0,99.82,5.41,7.73,0.42,7.31,224.5,6.95,10.24,0.85,9.39,225.5
31.9,11.3,38.18,26.88,17.27,60.69,0.01,99.9,5.2,7.79,1.65,6.14,211.06,6.58,10.04,2.09,7.95,212.75
32.17,11.13,38.56,27.43,17.27,59.62,0.01,99.93,4.17,7.96,2.1,5.86,200.75,5.16,10.22,2.4,7.81,202.5
33.1,11.16,39.57,28.41,17.4,57.19,0.01,99.8,3.64,6.54,0.98,5.56,193.44,4.4,7.77,1.09,6.69,192.5
33.11,9.95,38.69,28.74,17.58,57,0.02,99.83,4.61,7.09,1.89,5.2,200.69,5.54,8.48,2.05,6.43,202.19
32.73,9.2,37.88,28.68,18.01,59.56,0.12,99.88,4.87,6.97,2.77,4.2,198.31,5.93,8.59,3.19,5.41,200.19
32.21,9.07,37.8,28.73,17.88,61.06,0.07,99.86,5.09,7.53,1.28,6.25,208.88,6.18,8.94,1.43,7.52,208.25
31.57,8.74,36.9,28.15,18.31,64.38,0.54,99.83,6.6,7.77,5.46,2.31,170.69,7.71,8.93,6.47,2.46,171.62
30.33,5.43,33.47,28.04,19.1,71.06,0.17,99.87,5.48,6.61,4.54,2.07,162.44,6.43,7.89,4.98,2.92,163.12
30.37,5.84,33.63,27.78,18.68,69.38,0.51,99.9,4.54,5.77,3.32,2.45,172.25,5.35,7.07,3.52,3.55,173.44
31.78,9.16,36.34,27.18,17.7,61.81,0.02,99.92,4.27,6.28,2.72,3.56,222.38,5.44,8.04,3.97,4.06,224.06
31.9,8.88,36.39,27.51,16.72,57.94,1.6,100,4.85,6.67,2.12,4.55,229.75,5.98,8.23,3.29,4.95,231.69
29.88,8.49,34.77,26.28,16.78,64.94,9.03,100.1,6.66,8.33,4.89,3.44,240.56,8.46,9.88,6.87,3.02,241.31
30.44,9.8,36.07,26.27,15.08,57.38,7.96,100.02,7.55,9.16,6.37,2.8,222.25,9.68,10.82,8.3,2.52,223.25
30.08,10.32,35.39,25.07,14.83,57.38,0.61,99.99,7.87,9.9,6.4,3.5,217.25,9.96,11.61,8.4,3.22,218
30.15,9.48,35.3,25.82,16.48,62.88,0.15,99.94,7.88,9.97,5.9,4.07,211.25,9.69,11.48,7.76,3.73,212.38
30.97,11.02,36.88,25.87,16.85,61.75,0.24,99.95,5.86,8.09,3.27,4.83,227.81,7.48,9.3,4.73,4.56,230.25
30.57,8.12,34.82,26.69,16.72,61.81,0.15,99.94,5.52,8.26,3.44,4.82,240.94,7.23,9.56,4.58,4.98,242.56
31.82,11.25,37.93,26.68,17.64,61.75,0.46,99.88,4.59,6.53,2.58,3.95,212.12,5.83,7.97,2.97,5,214.75
32.94,11.2,39.24,28.04,17.4,57.44,0,99.86,4.9,7.85,0.7,7.15,227.12,6.25,9.26,0.58,8.68,227.56
33.66,11.02,39.71,28.69,16.97,53.62,0.22,99.76,4.72,6.95,2.05,4.91,224.69,6.09,8.8,2.46,6.34,227.81
33.06,10.2,38.95,28.75,17.58,57.31,5.86,99.8,4.67,7.09,3,4.08,217,5.93,8.83,3.56,5.27,219.81
30.61,8.15,35.27,27.12,18.07,66.56,4.93,99.89,5.08,8.16,2.68,5.48,255.62,6.31,9.62,3.54,6.09,256.44
30.48,7.65,34.5,26.85,17.33,64.44,0.89,99.73,5.08,6.65,3.11,3.54,244.88,6.77,8.59,5.27,3.33,246.12
29.05,6.37,32.49,26.12,17.21,68.62,0.77,99.7,5.05,7.14,2.3,4.84,242.88,6.34,8.85,3.13,5.72,243.94
30.4,8.94,34.69,25.75,16.91,63.25,0.48,99.63,4.4,7.22,1.53,5.68,239.12,5.8,9.02,2.05,6.97,241.62
30.44,8.14,35.13,26.99,16.72,62.19,10.52,99.62,6.08,7.51,4.37,3.14,245.12,7.88,10.2,5.41,4.79,246.56
30.23,9.36,35.6,26.25,17.27,65.38,7.19,99.59,6.56,7.49,5.36,2.13,256.81,8.62,9.66,7.88,1.77,257.81
29.46,9.12,34.76,25.64,15.87,62.56,0.08,99.75,7.42,9.8,5.25,4.55,242.75,9.44,11.51,6.83,4.68,244
30.59,10.38,35.87,25.48,15.81,58.88,0.46,99.71,6.83,9.88,4.74,5.13,257.69,9.18,11.91,7.66,4.25,258.12
30.69,8.87,35.22,26.35,16.91,62.06,0.23,99.47,6.78,8.32,5.39,2.93,256,9.02,10.36,7.12,3.24,256.94
30.69,8.84,35.3,26.45,16.66,61.19,0.07,99.44,5.09,7.77,2.84,4.92,275.44,7.08,9.31,5.59,3.73,276.06
29.54,5.77,32.55,26.78,16.66,64.75,0.54,99.56,5.03,6.21,3.93,2.28,253.12,6.62,8.1,5.59,2.51,254.19
29,5.82,32.33,26.51,17.03,68.12,0.55,99.74,5.87,6.48,4.74,1.74,239.25,7.52,8.37,6.4,1.97,241.12
30.09,10.53,35.97,25.44,16.05,61.75,1.13,99.81,5.63,7.49,4.24,3.25,231.75,7.12,8.7,5.26,3.45,233.69
29.14,6.48,32.79,26.3,16.91,67.44,2,99.95,4.19,5.91,3.13,2.79,238.31,5.46,6.92,4.12,2.8,240.19
27.27,4.69,30.09,25.41,17.21,76.12,5.48,99.99,4.46,5.54,3.95,1.59,232.75,5.53,7.22,4.66,2.56,233.75
28.02,7.42,32.4,24.99,16.48,70.94,1.46,100.06,4.27,5.49,2.7,2.79,219.56,5.55,7.24,3.46,3.77,221.19
29.18,9.05,33.9,24.85,15.75,63.81,0.07,100.2,2.88,4.18,2,2.18,224.69,3.98,5.09,2.47,2.62,227.94
29.99,8.05,34.19,26.13,16.54,63.69,0.7,100.26,3.02,4.41,1.23,3.18,212.94,3.98,5.3,1.56,3.73,215.19
29.52,7.59,33.89,26.3,16.72,65.81,2.76,100.12,3.77,5.63,2.3,3.34,224.38,4.91,7.54,3.3,4.23,226.31
29.88,9.05,34.94,25.88,16.36,64.19,1.31,100.05,3.76,4.82,1.38,3.44,213.69,4.91,6.34,1.68,4.66,218.06
29.33,6.54,32.69,26.15,16.17,64.19,0.11,100.12,2.82,4.33,1.17,3.16,243.69,3.9,6.38,2.03,4.35,246.5
28.82,5.73,31.8,26.07,15.62,64,0.07,100.21,3.47,4.59,1.11,3.48,241.12,4.58,6.71,1.63,5.08,242.69
30.3,8.66,35.02,26.36,16.24,61.94,0.37,100.01,4.95,6.34,3.35,2.99,218.88,6.48,8.03,4.91,3.12,221.06
30.11,9.44,35.71,26.26,15.69,60.19,4.39,99.94,5.3,6.84,3.59,3.26,240.06,7.16,9.38,5.16,4.21,241.88
29.61,9.07,34.73,25.65,16.3,63.88,2.96,99.93,5.16,6.74,3.44,3.3,253.5,7.18,8.17,6.4,1.77,254.62
30.55,12.05,37.12,25.07,15.5,59.06,0.12,99.86,5.18,6.51,3.43,3.08,252.25,7.19,7.9,5.86,2.03,253.19
31.29,10.89,37.05,26.16,15.87,57.19,0.48,99.83,5.76,7.9,3.91,3.98,246.5,7.72,9.28,6.59,2.69,247.38
30.93,8.17,35.27,27.1,16.11,58.38,0.23,99.8,5.31,6.84,3.95,2.9,251.12,7.2,8.13,5.77,2.37,252.25
31.03,8.9,35.88,26.99,16.3,58.88,0.44,99.79,5.1,6.88,4.01,2.88,231.06,6.6,8.05,5.17,2.88,233.81
31.14,8.41,35.57,27.15,16.17,58,0.64,99.84,4.7,6.17,2.53,3.64,245.94,6.2,7.9,4.16,3.74,248.06
30.71,7.48,34.56,27.07,15.69,57.75,0.07,99.96,4.16,5.88,2.97,2.91,251.56,5.55,7.52,3.9,3.62,253.06
31.16,8.99,35.88,26.89,15.56,56.31,0.09,100,4.86,6.14,3.73,2.41,232.31,6.08,8.05,4.59,3.47,234.5
31.8,10.15,37.13,26.98,15.08,52.81,0.09,99.93,4.27,6.12,1.95,4.17,223.38,5.33,7.17,2.34,4.84,226
30.63,7.11,34.33,27.23,16.91,62.19,21.35,99.96,3.68,5.27,1.12,4.14,199.31,4.69,7.12,1.24,5.88,214.69
28.3,4.51,31.02,26.51,18.01,75.25,6.08,100.06,2.96,4.77,0.86,3.91,216.81,3.93,6.54,0.91,5.63,219.62
28.15,5.97,31.35,25.38,17.27,73.19,4.14,100.08,2.83,4.11,0.58,3.53,224.62,3.84,5.8,0.8,4.99,224.88
29.04,6.32,32.25,25.93,17.52,70.5,5.9,99.98,2.84,4.66,1.23,3.44,199.31,4.02,6.88,1.39,5.49,198.31
29.62,8.18,34.42,26.24,17.76,69.75,6.68,99.84,3.03,4.46,0.31,4.15,220.25,4.25,6.2,0.33,5.88,222.25
28.23,6.97,32.74,25.77,17.82,75.06,7.84,99.9,3.56,5.73,1.13,4.59,222.31,4.39,6.88,1.1,5.78,225.88
27.39,4.41,29.65,25.24,17.88,78.38,2.02,99.88,3.03,5.62,0.73,4.89,238.25,3.88,6.77,0.91,5.86,239.19
27.6,4.6,30.17,25.57,18.07,78.31,11.58,99.82,4.4,5.98,2.25,3.73,237.44,5.7,7.44,3.55,3.89,238
28.44,7.66,32.61,24.94,17.58,73.38,9.92,99.69,4.79,6.34,3.35,2.98,243.12,6.47,7.46,5.56,1.89,244.19
28.8,8.38,33.43,25.05,18.01,73.62,1.39,99.75,4.3,6.41,2.52,3.88,234.5,5.66,7.38,3.75,3.63,236.69
27.93,5.7,31.4,25.69,17.82,76.12,6.1,99.95,3.7,5.65,2.05,3.6,230.38,4.74,7.17,3.27,3.9,232.44
26.81,5.14,30.12,24.98,17.76,80.81,30.83,100.09,3.92,5.56,2.57,3,225.81,4.99,7.02,3.04,3.98,227.06
27.55,6.07,30.84,24.77,18.49,80.56,24.67,99.96,4.02,6.05,1.81,4.23,252.12,5.28,7.03,2.73,4.29,253.06
27.3,5.17,30.4,25.24,18.68,82.44,20.25,99.88,3.81,6.27,1.2,5.08,236.31,4.98,8.48,1.48,7,237.44
26.86,4.1,29.05,24.94,17.4,78.81,13.07,99.97,4.23,6.41,1.9,4.51,254.06,5.5,8.63,2.68,5.95,255.62
26.67,4.94,29.5,24.56,17.46,79.69,1.34,100,4.7,6.65,2.15,4.5,268.62,6.25,8.92,3.23,5.69,269.5
27.16,6.37,30.88,24.51,17.64,78.75,2.45,99.81,5.11,7.57,3.07,4.5,252.12,6.98,9.13,4.91,4.23,253.19
27.8,8.83,32.85,24.02,17.09,73.94,1.78,99.71,5.94,7.8,3.81,3.98,253.5,8.28,9.62,6.04,3.59,254.5
27.25,7.16,31.23,24.07,18.01,79.75,17.61,99.89,5.09,7.48,2.96,4.52,258.75,6.91,9.02,4.3,4.72,259.56
27.63,7.3,31.84,24.55,17.94,78.12,1.79,99.99,4.83,5.98,2.95,3.03,254.62,6.67,8.42,4.98,3.44,256.38
28.53,9.7,34,24.3,17.52,72.88,0.69,99.8,5.88,7.37,4.45,2.93,258.75,8.37,9.91,6.51,3.41,259.88
28.65,10.02,34.26,24.23,17.52,72.31,0.1,99.72,5.84,7.94,4.84,3.1,260.56,8.24,9.7,6.51,3.19,261.44
28.92,9.13,33.94,24.81,17.64,71.5,0.14,99.8,5.62,7.86,4.06,3.79,262.31,8.09,9.73,6.34,3.39,262.81
29.08,9.57,34.5,24.93,17.4,70.19,0.08,99.83,5.65,7.05,4.21,2.84,268.88,8.1,9.48,5.8,3.67,269.5
29.06,9.88,34.39,24.51,17.46,70.31,0.51,99.74,5.57,7.24,4.41,2.84,254.19,7.96,8.73,6.84,1.88,255.19
29.12,9.51,34.08,24.57,17.82,71.56,1.73,99.79,5.38,7.14,3.62,3.52,231.81,7.48,8.34,6.55,1.78,234.06
28.69,7.86,32.94,25.08,18.19,74.5,4.82,99.95,4.91,6.77,3.06,3.7,224.06,6.84,8.38,5.43,2.95,226.06
28.26,6.45,31.64,25.19,17.94,75.19,3.62,100.15,3.75,5.81,2.02,3.79,228.12,5.15,8.41,2.86,5.55,231.38
28.78,8.77,33.53,24.77,17.76,73.12,0.36,100.04,3.34,6.38,0.1,6.27,243.75,4.63,7.55,0.74,6.81,256.81
