QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,T2M,T2M_RANGE,T2M_MAX,T2M_MIN
3.54,72.88,0.04,98.6,5.74,7.65,4.05,3.6,194.06,8.24,9.43,7.27,2.17,194.88,3.78,9.58,9.52,-0.06
2.81,66.5,0.04,99.7,6.15,9.2,3.45,5.75,270.75,8.19,10.84,5.61,5.23,270.94,2.19,8.97,7.44,-1.53
3.97,67.88,0,100.82,6.53,8.62,4.53,4.1,216.19,9.55,10.5,7.48,3.02,216.94,6.33,14.59,13.27,-1.32
4.64,71.31,0,100.74,5.11,6.55,3.42,3.12,213.56,7.88,9.53,5.57,3.96,214.06,8.23,13.95,15.5,1.55
5.19,69.19,0,100.07,4.95,6.31,3.07,3.24,198.38,8.12,10.45,5.69,4.76,198.94,10.33,16.32,18.11,1.79
5.8,73.56,0,99.18,5.55,8.19,2.66,5.53,243.25,8.15,10.47,4.33,6.15,243.62,10.71,15.67,19.09,3.42
4.7,78.06,0.08,99.14,5.04,8.6,1.75,6.85,217.5,6.64,11.88,2.61,9.27,217.88,6.37,9.8,11.22,1.42
3.42,68.38,0.24,100.11,6.34,8.52,4.11,4.41,265.94,8.77,10.38,6.98,3.4,266.69,4.28,11.16,9.23,-1.93
3.85,61.5,0,100.26,6.84,8.54,4.07,4.46,211.06,9.57,11.69,6.59,5.1,211.88,8.07,15.02,14.61,-0.42
5.92,70.56,2.35,99.78,6.41,8.05,3.05,5,231.19,8.75,11.07,5.49,5.58,232,11.29,12.37,17.92,5.55
4.94,72.12,5.78,100.03,4.04,7.06,1.41,5.66,289.31,5.87,10.72,2.1,8.61,290,8.95,8.16,13.95,5.79
3.36,57.12,0.2,100.68,8.09,12.05,3.9,8.16,253.69,10.87,14.8,7.38,7.41,254.31,6.66,8.03,10.57,2.54
4.21,57.44,0.43,100.01,8.76,12.2,5.47,6.73,227.19,11.56,15.62,7.8,7.84,227.88,10.05,16.53,18.51,1.98
2.69,59.5,0.49,100.56,6.45,7.26,5.45,1.8,50.94,8.27,9.66,7.37,2.3,51.25,2.65,2.61,3.88,1.27
2.56,56.31,0.29,100.34,6.36,8.88,3.66,5.22,52,8.45,10.41,5.96,4.45,52.38,3.35,9.78,8.31,-1.47
2.69,58,0.65,100.38,4.88,7.23,2.45,4.79,210.81,6.31,10.27,3.17,7.09,210.81,3.55,11.48,9.65,-1.83
2.08,54,0,101.78,4.07,6.2,2.47,3.73,279.62,5.65,9.17,3.52,5.65,280.25,1.79,13.09,8.06,-5.03
3.05,53.25,0,101.85,4.26,5.24,3.41,1.83,156.69,6.48,9.61,3.83,5.78,156.94,6.81,16.91,14.43,-2.48
4.82,60.38,0.03,100.52,4.7,6.34,2.91,3.42,147.38,7.47,9.8,4.56,5.23,147.81,11.11,17.02,19.13,2.1
8.06,68.31,0.15,99.48,4.67,6.17,3.48,2.7,202.81,7.41,10.48,4.25,6.24,203.5,16.24,15.95,24.29,8.33
8.18,73.62,0.04,99.03,6.58,10.84,3.8,7.03,265.06,9.42,13.73,5.99,7.73,265.69,16.12,11.13,21.87,10.74
7.14,78.38,0.15,99.37,3.98,5.26,2.65,2.61,269.81,5.81,7.89,3.04,4.86,270.44,12.82,8,17.05,9.05
4.76,59.69,0.01,100.18,4.55,7.76,1.59,6.16,206.06,6.27,9.31,2.19,7.12,205.44,11.46,11.09,17.1,6.01
5,71.56,2.07,100.22,3.92,6.05,0.4,5.66,194.31,5.27,7.57,0.52,7.04,194.31,8.76,10.88,14.23,3.35
3.48,61.88,0.07,100.4,5.85,10.3,3.07,7.23,217.62,8.09,12.38,4.45,7.92,217.62,6.47,12.3,12.29,-0.01
3.48,55.44,0,100.4,3.73,4.93,2.59,2.34,156,5.31,7.02,3.96,3.05,156.62,8.09,17.53,15.67,-1.86
4.88,64.12,1.54,98.56,2.83,4.69,1.15,3.54,197.31,4.22,7.6,1.31,6.29,196.88,10.15,10.83,15.01,4.17
3.66,80.62,11,98.95,6.41,7.7,4.49,3.21,274.25,8.48,9.31,7.35,1.96,275.12,2.15,7.02,6.44,-0.58
3.48,58.94,0,100.24,6.43,9.48,2.81,6.66,226.12,8.66,13.25,4.51,8.74,227.31,7.05,14.7,13.02,-1.67
5.37,59.81,0,99.69,6.98,9.81,3.08,6.73,217.25,9.33,13.34,5.8,7.53,218.25,12.62,14.55,20.07,5.52
5.68,63.12,0,99.01,3.54,4.53,2.23,2.3,232.06,5.22,7.01,3.59,3.41,232.5,13.02,15.33,19.76,4.43
7.14,77.75,0.44,98.96,3.01,4.39,0.91,3.48,88.19,4.8,8.1,1.09,7.02,89.12,12.85,12.51,18.41,5.9
8.36,76,0.41,99.05,4.2,5.77,2.36,3.41,196.38,6.2,7.58,4.38,3.2,196.31,15.65,13.22,21.4,8.19
9.28,68.75,0.01,98.97,7.07,9.92,4.1,5.82,169.06,10.34,12.71,7.5,5.21,170.12,19.15,14.67,26.01,11.33
5.43,56.19,0.09,99.5,7.13,9.49,3.62,5.86,272.75,9.44,11.47,6.29,5.18,272.62,13.56,9.42,16.71,7.29
3.91,60.31,0,100.47,2.99,3.95,2.06,1.88,198.44,4.16,5.84,2.18,3.66,198.81,8.14,9.73,12.47,2.73
5,64.31,0.51,100.34,4.2,7.7,1.58,6.12,169.56,6.01,10.7,1.81,8.88,170.56,11.2,15.58,17.93,2.35
4.09,62.88,0.07,100.41,6.09,7.78,3.8,3.98,257.38,8.41,9.21,6.95,2.27,257.62,7.99,9.77,11.96,2.19
5.19,70.94,10.24,99.43,4.45,8.14,0.29,7.85,186.38,6.03,9.97,0.5,9.47,186.25,9.95,10.93,15.81,4.88
3.3,60.25,0.27,99.33,6.98,9.87,2.91,6.95,285.44,9.12,11.54,5.32,6.22,285.38,4.89,7.41,7.57,0.16
3.3,57.12,0.04,99.81,7.55,10.26,4.7,5.55,247.88,9.85,13.62,6.77,6.85,249.38,6.62,12.68,11.62,-1.06
5.43,70.31,3.67,98.95,8.77,12.85,5.18,7.68,226.38,11.59,16.09,7.29,8.8,227.94,9.77,7.86,13.6,5.74
5.49,72.62,4.02,99.13,7.41,10.72,3.27,7.45,272.5,10.08,13.2,6.42,6.78,273.06,9.4,12.64,14.58,1.94
3.78,55.19,0.02,100,6.09,8.45,1.68,6.76,236.38,8.36,11.16,2.48,8.68,237.19,9.21,14.56,15.08,0.52
6.04,70.5,4.24,99.21,4.65,6.74,1.55,5.19,232.06,6.48,10.09,2.71,7.38,232.19,11.58,9.38,16.08,6.71
9.28,77.19,0.98,98.66,4.55,6.88,2.12,4.77,219.25,6.8,9,4.11,4.9,219.69,17.14,14.77,25.02,10.25
6.65,77.81,0.65,99.22,6.55,7.47,4.95,2.52,31.94,8.05,9.4,6.55,2.85,33.06,11.71,10.42,17.59,7.17
7.14,74,0.55,99.67,4.56,6.8,2.28,4.51,50.56,6.33,8.06,3.81,4.24,51.38,13.6,12.27,18.95,6.68
6.53,58.75,0,100.12,3.34,4.62,1.93,2.69,62.81,4.71,8.08,3.15,4.93,62.75,16.25,14.24,22.09,7.85
7.2,56.56,0,99.91,2.38,3.55,1.76,1.8,100.56,3.27,5.72,2.34,3.37,100.62,18.34,12.85,23.76,10.9
8.85,60.25,0.24,99.27,3.23,6.05,1.72,4.34,107.88,4.57,8.69,2.83,5.86,108.69,20.49,14.69,26.73,12.04
9.4,74.62,4.15,99.26,4.7,6.38,2.55,3.83,204.12,6.6,8.69,5.02,3.67,204.88,17.88,9.83,23.76,13.93
8.18,68,1.5,99.06,5.08,7.6,2.64,4.96,217.81,7.18,9.55,4.19,5.37,218.62,17.27,10.03,21.69,11.66
9.28,65.38,0.01,99.22,2.3,4,1.32,2.69,160.62,3.59,8.11,1.72,6.39,163.38,19.9,11.51,25.58,14.08
10.5,64.19,0.31,98.7,4.61,5.64,3.41,2.23,128.5,7.12,9.8,3.8,5.99,129.44,22.08,13,27.55,14.55
10.68,72.06,3.34,98.9,4.07,5.59,2.75,2.84,206.81,6.31,9.28,3.16,6.12,207.5,20.45,9.34,25.28,15.94
8,68.81,0.13,99.54,5.51,7.84,2.86,4.98,246.25,7.59,9.54,5.14,4.4,246.31,16.78,9.18,21.26,12.08
7.02,63.06,0.14,100.03,2.25,3.95,1.28,2.66,97.69,3.28,7.89,1.23,6.66,97.06,16.5,11.08,21.28,10.2
6.9,55.94,0,99.95,3.79,5,2.65,2.36,89.44,5.45,7.97,3.47,4.5,90.62,18.04,13.86,24.06,10.2
7.93,57.81,0.07,99.76,3.8,5.16,2.18,2.98,52.88,5.28,6.1,2.52,3.58,52.38,19.55,12.98,24.91,11.94
9.4,64.12,0.05,99.56,2.55,3.45,1.16,2.29,56.69,3.59,5.23,1.33,3.9,69.62,20.4,10.91,25.21,14.3
9.28,58.19,0,99.66,2.18,2.89,1.55,1.34,68.56,3.06,5.05,1.72,3.34,66.62,22.08,12.48,27.07,14.58
9.09,61.81,0.02,99.97,4.66,5.9,3.04,2.86,36.25,6.48,9.05,5.41,3.63,36.12,20.54,10.48,24.82,14.33
5.86,51,0,100.03,4.7,5.89,3.38,2.51,32.44,6.71,8.84,5.33,3.51,31.94,17.29,11.02,22.55,11.53
6.29,56.5,0,100.2,5.23,7.06,2.87,4.19,47.69,7.3,8.95,4.92,4.03,47.88,16.51,12.35,21.95,9.6
7.87,57.75,0.01,100.27,5.55,7.57,3.82,3.75,43,8.06,9.32,4.49,4.83,43.44,20.33,15.39,26.82,11.43
9.4,58,0,100.24,4.41,5.61,3.04,2.57,39.69,6.69,8.68,4.31,4.37,40.06,22.76,14.16,28.83,14.67
10.86,60.56,0.02,100.06,4.83,6.77,3.18,3.59,56.06,7.06,8.49,4.57,3.92,56.31,24.4,12.89,30.12,17.23
10.93,56.19,0.05,99.74,3.67,4.48,2.84,1.62,45.12,5.55,7.55,3.49,4.06,45.19,25.87,13.96,31.82,17.86
11.96,61.44,0.95,99.47,4.66,5.77,3.54,2.23,46.25,6.65,8.96,4.77,4.19,46.88,25.23,10.49,30.1,19.61
10.07,57.62,0.21,99.41,4.93,6.55,3.22,3.34,35.62,7.05,7.97,5.47,2.5,35.62,23.68,12.45,29.37,16.91
8.97,53.88,0,99.26,4.72,8.77,3.04,5.73,36.56,6.52,11.7,3.34,8.36,36.69,23.19,14.23,29.36,15.12
7.87,60.44,0.3,99.58,7.32,8.2,5.77,2.45,36.31,9.12,10.58,8.4,2.18,37.5,18.52,11.26,24.83,13.58
6.41,50.06,0,99.45,6.43,8.2,4.41,3.8,49.25,8.47,9.65,7.48,2.16,50.31,18.65,12.22,24.06,11.83
7.32,51.31,0.54,99.13,4.51,6.98,0.99,6,48.56,5.83,8.45,1.48,6.97,49.12,20.84,14.51,27.33,12.82
6.59,53.19,0.82,98.89,5.3,7.59,1.63,5.96,259,7.12,8.88,2.45,6.43,259,17.23,12.98,22.17,9.19
4.39,46.81,0,99.32,3.48,5.01,2.4,2.61,235.38,4.82,5.97,3.01,2.97,235,14.18,13.39,20.33,6.94
6.47,59.81,4.15,99.05,2.23,4.38,0.55,3.83,230.31,2.98,5.05,0.67,4.38,245.44,15.64,12.46,21.34,8.88
8.3,68.88,1.56,98.68,1.77,2.68,1.05,1.64,177.5,2.57,4.6,1.21,3.39,176,17.23,8.96,21.77,12.81
6.71,51.06,0,98.62,2.57,4.16,0.7,3.45,168.94,3.91,8.21,0.67,7.55,182.75,19.45,13.35,25.52,12.17
7.51,55.25,4.4,98.35,6.02,7.43,4.01,3.42,274.81,8.34,9.43,7.2,2.23,274.81,19.12,12.27,24.4,12.14
6.1,56.88,0.19,99.11,4.83,6.55,2.77,3.78,301.5,6.46,7.84,4.98,2.86,301.69,15.75,9.9,20.79,10.89
6.9,54.06,0.04,99.38,2.38,3.52,0.08,3.45,251.38,3.3,6.21,0.14,6.06,261.5,18.58,14.05,24.44,10.39
7.93,50.31,0.89,98.71,4.39,5.6,2.94,2.67,181.56,6.76,8.3,5.33,2.98,182.81,22.29,16.23,29.46,13.23
8,58.12,0.38,98.61,6.62,8.88,3.54,5.34,281.62,8.89,10.52,5.57,4.95,281.62,19.07,8.8,22.05,13.25
5.49,48.69,0.02,98.89,6.75,9.31,3.96,5.35,278.38,9.34,11.26,6.51,4.74,278.94,16.83,11.61,22.75,11.15
6.47,50.62,0.14,98.78,5.22,7.4,2.55,4.85,288.88,7.4,9.06,4.77,4.29,289.31,18.87,15.25,25.49,10.24
6.84,51.38,0,98.75,4.02,5.79,1.21,4.59,250.31,5.44,7.34,1.79,5.55,249.56,19.3,11.35,24.76,13.41
7.32,56.56,0,99.09,2.47,3.74,1.04,2.7,228.75,3.23,5.06,1.44,3.62,228,18.73,12.98,24.46,11.48
7.08,45.94,0.01,98.99,1.16,3.89,0.39,3.5,74.38,1.69,7.45,0.53,6.91,60.31,21.38,11.63,26.62,14.99
9.09,53.81,2.25,98.36,4.62,6.07,2.82,3.25,115.88,6.84,9.2,4.86,4.34,116.5,22.88,12.3,27.87,15.58
10.56,76.44,13.45,97.67,3.49,6.8,0.37,6.43,230,4.74,8.62,0.54,8.08,230.06,18.75,5.28,22.27,16.99
8.91,63.38,1.95,97.61,2.24,3.89,0.59,3.31,225.06,3.09,5.43,0.64,4.79,226.31,19.36,7.16,22.76,15.59
8.54,80.5,2.35,98.77,4.34,6.28,1.69,4.59,97.5,5.69,7.15,3.01,4.14,98.31,14.77,6.3,17.41,11.12
7.45,60.12,0.05,99.57,3.19,4.13,1.58,2.55,16.12,4.37,5.64,2.28,3.36,15.94,18.05,16.84,25.1,8.26
8.3,57.94,0.1,99.68,2.95,4.44,0.52,3.91,57.19,3.96,5.75,0.7,5.06,55.94,20.3,10.1,25.26,15.16
8.3,57.5,0,99.52,4.13,5.7,2.65,3.06,52.12,5.81,6.92,3.56,3.36,52.31,20.77,14.77,27.69,12.91
8.67,53.44,0,99.18,2.88,4.16,1.25,2.91,103.5,3.86,5.73,1.75,3.98,104.06,22.72,13.91,28.46,14.55
10.5,65.81,3.86,99.07,3.3,5.36,2.1,3.27,260.88,4.52,6.9,3.09,3.81,261.25,21.62,10.96,27.51,16.55
8.91,71.06,3.56,98.95,4.04,6.26,2.38,3.87,268.88,5.58,7.55,3.66,3.88,269.06,17.66,6.09,20.71,14.62
8.91,70.44,3.53,98.63,3.25,5.05,1.37,3.7,246.38,4.39,6.02,2.16,3.86,248.5,17.86,7.73,21.71,13.98
9.4,80.44,5.67,98.43,3.22,4.09,2.49,1.59,298.88,4.51,6.13,3.29,2.84,299.5,16.41,7.38,19.51,12.12
7.75,68.69,2.68,98.94,6.23,9.27,2.56,6.7,309.94,8.43,11.96,4.9,7.06,310,16.48,10.17,21.72,11.55
6.65,62.88,0.42,99.23,3.52,5.1,1.81,3.3,304.69,5.08,6.03,3.15,2.88,304.06,15.4,9.49,19.96,10.47
6.96,63.56,0.05,99.37,3.97,5.75,2.27,3.47,320.25,5.48,6.83,3.66,3.16,319.94,16.2,12.76,21.57,8.81
8.73,73.31,2.09,99.43,3.61,4.76,2.16,2.6,261.31,5.15,5.88,3.82,2.07,246.62,17.03,9.66,21.8,12.14
8.97,77.19,2.77,99.48,3.53,4.59,2.55,2.03,191.81,5.12,5.8,3.32,2.48,192,16.64,9.36,20.64,11.28
9.77,75.69,2.01,99.58,2.66,3.23,2.19,1.05,11.5,3.91,5.35,2.58,2.77,11.81,18.29,11.02,23.1,12.08
9.7,72.44,1.29,99.51,3.07,4.07,2.04,2.04,25.81,4.32,5.98,3.27,2.7,25.56,18.9,10.23,23.24,13.01
9.22,65.06,0.42,99.55,3.59,4.45,2.73,1.72,50.25,5.41,7.38,3.77,3.61,51.38,20.14,12.27,25.72,13.46
9.83,66.38,1.17,99.65,3.59,4.22,2.95,1.27,39.5,5.46,7.23,3.73,3.48,40.5,20.88,11.91,25.93,14.01
10.44,71.38,1.09,99.6,3.24,4.08,2.37,1.71,16.75,4.7,6.08,3.5,2.58,17.31,20.54,9.12,25.3,16.17
10.25,72.44,0.8,99.55,3.09,3.95,2.21,1.73,38.81,4.42,6.01,3.28,2.73,38.94,19.94,10.8,24.89,14.09
10.25,75.38,2.01,99.49,2.75,3.52,1.95,1.56,89.62,4.23,5.91,2.27,3.65,75.44,19.07,7.93,22.66,14.73
8.97,62.06,0.84,99.45,2.62,3.02,1.94,1.08,48.06,3.98,5.6,2.47,3.13,48.81,20.51,11.2,26.02,14.83
8.54,56.94,0.03,99.72,3.19,3.88,2.29,1.59,48.75,4.7,6.88,2.82,4.05,49.06,21.52,13.97,27.9,13.93
9.09,55.88,0.1,99.92,2.31,3.27,1.13,2.14,32.5,3.03,4.52,1.59,2.93,32.94,22.67,12.4,28.47,16.07
9.83,59.44,0.46,99.54,2.88,4.88,0.91,3.97,298.56,3.76,5.95,1.24,4.7,298.81,22.47,10.73,27.46,16.73
